,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
1347,647570,Transference™,2018-11-02 00:00:00,27000,1.0,1.0,Adventure,0.0,14.0,Adventure,13.0,0.0,0.0,,mostly positive,single only,265,104,,,71.3
1348,647640,ShockRods,2019-10-16 00:00:00,26000,6.0,6.0,Action,1.0,46.0,Action,14.0,0.0,0.0,,mixed,single only,34,10,,,24.2
1349,647650,Space Avenger – Empire of Nexx,2020-10-09 00:00:00,15500,5.0,5.0,Action,0.0,0.0,Action,3.0,0.0,0.0,,mixed,single only,14,5,,,
1350,647660,Drone Warfare,,,5.0,5.0,Action,0.0,0.0,Flight,1.0,0.0,0.0,,no user reviews,single only,,,,,
1351,647740,Airmen,2017-07-25 00:00:00,,6.0,6.0,Action,0.0,17.0,Action,1.0,0.0,0.0,,very positive,single and multi,252,49,4.9,59,21.5
1352,647820,Order No. 227: Not one step back!,2018-07-04 00:00:00,5500,6.0,6.0,Action,0.0,50.0,Action,2.0,0.0,0.0,,mostly negative,single and multi,26,47,,,78.8
1353,647830,LEGO® Marvel Super Heroes 2,2017-11-15 00:00:00,22500,6.0,1.0,Action,0.0,75.0,LEGO,14.0,0.0,1.0,very positive,very positive,single only,5509,844,230.9,1042,72.8
1354,647840,Ironclads 2: Caroline Islands War 1885,2017-07-21 00:00:00,10500,4.0,6.0,Simulation,0.0,0.0,Simulation,1.0,0.0,0.0,,positive,single only,12,2,0.0,3,
1355,647850,Royal Detective: Queen of Shadows Collector's Edition,2017-06-10 00:00:00,10500,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,3 user reviews,single only,3,0,0.0,2,
1356,647890,The Agency of Anomalies: The Last Performance Collector's Edition,2017-06-13 00:00:00,10500,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,6 user reviews,single only,4,2,0.3,3,
1357,647900,Riddles of Fate: Into Oblivion Collector's Edition,2017-06-15 00:00:00,10500,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,3 user reviews,single only,3,0,0.1,3,
1358,647910,Amaranthine Voyage: The Living Mountain Collector's Edition,2017-06-17 00:00:00,10500,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,6 user reviews,single only,6,1,0.0,3,
1359,647930,Danse Macabre: Crimson Cabaret Collector's Edition,2017-07-11 00:00:00,10500,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,5 user reviews,single only,4,1,0.1,3,
1360,647940,Shrouded Tales: Revenge of Shadows Collector's Edition,2017-07-15 00:00:00,10500,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,no user reviews,single only,,,0.0,2,
1361,647950,Kitty Nigiri,2017-09-05 00:00:00,10500,6.0,6.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,no user reviews,single only,2,0,0.0,1,
1362,647960,Rusted Warfare - RTS,2017-07-15 00:00:00,5500,6.0,6.0,Indie,0.0,0.0,RTS,1.0,0.0,0.0,very positive,overwhelmingly positive,single and multi,2745,73,97.1,215,
1363,647980,Trojan Inc.,2017-06-07 00:00:00,3300,6.0,6.0,Indie,0.0,0.0,Outbreak Sim,5.0,0.0,0.0,,mostly negative,single only,14,20,,,
1364,647990,Batter Up! VR,2017-07-18 00:00:00,10500,5.0,5.0,Casual,0.0,29.0,Casual,1.0,0.0,0.0,,positive,single and multi,20,2,,,78.3
1365,648020,The Fleet,2012-11-30 00:00:00,4400,2.0,2.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,mixed,single only,8,5,,,
1366,648050,Super Pilot,2018-09-18 00:00:00,13500,5.0,5.0,Indie,0.0,0.0,Racing,1.0,0.0,0.0,,very positive,single only,103,10,,,
