,appid,is_top_seller,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
126,1239690,1,Retrowave,2022-05-07,3300.0,4,4,Action,1,44,Racing,11,0,1,overwhelmingly positive,overwhelmingly positive,single only,7602,397,68.1,638.0,61.2
127,1211020,1,Wobbly Life,2020-07-09,14500.0,5,5,Action,1,40,Adventure,1,0,0,overwhelmingly positive,overwhelmingly positive,single and multi,7583,246,1013.6,2895.0,87.6
128,858210,1,Nova Drift,2019-03-27,15500.0,4,4,Action,1,19,Action Roguelike,9,0,1,overwhelmingly positive,overwhelmingly positive,single only,7824,262,333.4,1133.0,62.9
129,610370,1,Desperados III,2020-06-17,50900.0,2,1,Strategy,0,36,Strategy,10,0,1,very positive,overwhelmingly positive,single only,9820,333,230.3,5997.0,43.5
130,314650,1,SpaceEngine,2019-06-11,26000.0,6,6,Casual,1,0,Early Access,18,0,1,very positive,overwhelmingly positive,single only,6117,249,80.3,596.0,
131,458710,1,Kingdom Rush Frontiers - Tower Defense,2016-07-25,10500.0,2,2,Strategy,0,87,Tower Defense,10,0,0,very positive,overwhelmingly positive,single only,5868,204,176.8,973.0,94.4
132,508900,1,Zup! X,2018-05-17,1100.0,4,4,Casual,0,2880,Casual,27,0,0,very positive,overwhelmingly positive,single only,5750,183,17.8,364.0,70.8
133,874260,1,The Forgotten City,2021-07-28,26000.0,4,3,Adventure,0,40,Adventure,8,0,1,overwhelmingly positive,overwhelmingly positive,single only,5667,182,61.1,585.0,
134,1062160,1,Poly Bridge 2,2020-05-29,15500.0,4,4,Indie,0,22,Building,11,0,1,overwhelmingly positive,overwhelmingly positive,single only,4805,207,192.0,1852.0,82.6
135,532110,1,Rusty Lake: Roots,2016-10-20,3300.0,1,1,Adventure,0,16,Puzzle,14,0,0,very positive,overwhelmingly positive,single only,4870,191,62.7,329.0,83.3
136,1003590,1,Tetris® Effect: Connected,2021-08-18,41000.0,6,6,Casual,0,43,Casual,10,0,1,very positive,overwhelmingly positive,single and multi,3743,156,145.1,1253.0,82.3
137,915310,1,SNKRX,2021-05-17,3300.0,4,4,Action,0,24,Action Roguelike,1,0,0,very positive,overwhelmingly positive,single only,3543,144,31.4,1723.0,95.8
138,3320,1,Insaniquarium Deluxe,2006-08-30,5000.0,2,2,Casual,0,0,Casual,1,0,0,very positive,overwhelmingly positive,single only,3588,124,65.9,264.0,
139,1506980,1,葬花·暗黑桃花源,2021-10-22,14500.0,6,6,Adventure,0,33,Adventure,1,0,1,very positive,overwhelmingly positive,single only,3406,114,18.4,887.0,92.6
140,1215390,1,Animal Revolt Battle Simulator,2022-04-16,16000.0,5,5,Action,1,5,Sandbox,10,0,0,overwhelmingly positive,overwhelmingly positive,single only,3142,108,363.2,1034.0,23.3
141,1634150,1,Behind the Frame: The Finest Scenery,2021-08-25,13500.0,6,4,Adventure,0,19,Atmospheric,10,0,1,overwhelmingly positive,overwhelmingly positive,single only,3239,116,11.9,170.0,90.2
142,801480,1,Agent A: A puzzle in disguise,2019-08-30,20500.0,4,4,Adventure,0,30,Puzzle,11,0,0,overwhelmingly positive,overwhelmingly positive,single only,2748,112,26.6,178.0,95.1
143,1217390,1,Some Some Convenience Store,2020-01-15,15000.0,3,3,Adventure,0,25,Dating Sim,2,0,1,very positive,overwhelmingly positive,single only,2635,99,8.3,763.0,98.9
